dist,tsne,gbm,rf
Diffuse Glioma,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,RELA,AT/RT-MYC,RELA
IDH Mutant,IDH Mutant,CNS,CNS
YAP,YAP,SFT,PFB
MPE,MPE,MPNST,MPE
RELA,MPNST,RELA,RELA
RELA,MPNST,RELA,RELA
PFA,YAP,PFB,MPE
PFA,SE,PFA,PFA
YAP,YAP,PFA,YAP
Meningioma,DIG,Meningioma,Meningioma
PFB,YAP,CNS,PFB
PFB,YAP,PFB,PFB
G34 Mutant,G34 Mutant,Midline,G34 Mutant
Midline,IDH Mutant,CNS,IDH Mutant
SE,SE,IDH Mutant,SE
HGNET-MN1,HGNET-MN1,RELA,HGNET-MN1
PFB,PFA,PFB,PFB
CNS,IDH Mutant,CNS,CNS
IDH Mutant,IDH Mutant,CNS,CNS
IDH Mutant,IDH Mutant,IDH Mutant,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Midline,ETMR,Midline,Midline
CNS,CNS,Uveal Melanoma,CNS
AT/RT-TYR,Diffuse Glioma,AT/RT-TYR,AT/RT-TYR
AT/RT-TYR,Diffuse Glioma,AT/RT-MYC,Diffuse Glioma
AT/RT-TYR,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,AT/RT-MYC,Diffuse Glioma
AT/RT-SHH,AT/RT-SHH,CNS,AT/RT-SHH
